Sentença	Id	Index	Granularidade	Documento
Os setores de biotecnologia e energias renováveis foram os maiores beneficiados.	32	1	0	O Instituto de Pesquisa Econômica Aplicada ( IPEA ) publicou estudo mostrando que o investimento público em ciência e tecnologia no Brasil cresceu 18 % nos últimos cinco anos . Os setores de biotecnologia e energias renováveis foram os maiores beneficiados .
31	32	-1	1	O Instituto de Pesquisa Econômica Aplicada ( IPEA ) publicou estudo mostrando que o investimento público em ciência e tecnologia no Brasil cresceu 18 % nos últimos cinco anos . Os setores de biotecnologia e energias renováveis foram os maiores beneficiados .
Neurocientistas da Universidade Federal Fluminense identificaram um biomarcador sanguíneo que permite diagnosticar depressão com precisão de 87% antes do aparecimento dos sintomas clínicos.	33	0	0	Neurocientistas da Universidade Federal Fluminense identificaram um biomarcador sanguíneo que permite diagnosticar depressão com precisão de 87 % antes do aparecimento dos sintomas clínicos . A descoberta pode permitir intervenção precoce e reduzir internações psiquiátricas .
A descoberta pode permitir intervenção precoce e reduzir internações psiquiátricas.	33	1	0	Neurocientistas da Universidade Federal Fluminense identificaram um biomarcador sanguíneo que permite diagnosticar depressão com precisão de 87 % antes do aparecimento dos sintomas clínicos . A descoberta pode permitir intervenção precoce e reduzir internações psiquiátricas .
32	33	-1	1	Neurocientistas da Universidade Federal Fluminense identificaram um biomarcador sanguíneo que permite diagnosticar depressão com precisão de 87 % antes do aparecimento dos sintomas clínicos . A descoberta pode permitir intervenção precoce e reduzir internações psiquiátricas .
O projeto Biota-FAPESP completou 25 anos de pesquisa sobre a biodiversidade paulista, catalogando mais de 22 mil espécies, das quais 15% são endêmicas do estado de São Paulo.	34	0	0	O projeto Biota-FAPESP completou 25 anos de pesquisa sobre a biodiversidade paulista , catalogando mais de 22 mil espécies , das quais 15 % são endêmicas do estado de São Paulo . Os dados estão disponíveis em plataforma digital de acesso livre ao público .
Os dados estão disponíveis em plataforma digital de acesso livre ao público.	34	1	0	O projeto Biota-FAPESP completou 25 anos de pesquisa sobre a biodiversidade paulista , catalogando mais de 22 mil espécies , das quais 15 % são endêmicas do estado de São Paulo . Os dados estão disponíveis em plataforma digital de acesso livre ao público .
33	34	-1	1	O projeto Biota-FAPESP completou 25 anos de pesquisa sobre a biodiversidade paulista , catalogando mais de 22 mil espécies , das quais 15 % são endêmicas do estado de São Paulo . Os dados estão disponíveis em plataforma digital de acesso livre ao público .
Pesquisadores da Universidade Federal do Pará desenvolveram um método de biorremediação que utiliza fungos para descontaminar solos afetados por derramamentos de petróleo na região amazônica.	35	0	0	Pesquisadores da Universidade Federal do Pará desenvolveram um método de biorremediação que utiliza fungos para descontaminar solos afetados por derramamentos de petróleo na região amazônica . O processo é 60 % mais eficiente que os métodos convencionais e não agride o ecossistema .
O processo é 60% mais eficiente que os métodos convencionais e não agride o ecossistema.	35	1	0	Pesquisadores da Universidade Federal do Pará desenvolveram um método de biorremediação que utiliza fungos para descontaminar solos afetados por derramamentos de petróleo na região amazônica . O processo é 60 % mais eficiente que os métodos convencionais e não agride o ecossistema .
34	35	-1	1	Pesquisadores da Universidade Federal do Pará desenvolveram um método de biorremediação que utiliza fungos para descontaminar solos afetados por derramamentos de petróleo na região amazônica . O processo é 60 % mais eficiente que os métodos convencionais e não agride o ecossistema .
